Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 2.709471	Val Loss: 2.424029	Val Acc: 29
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 2.391723	Val Loss: 2.441211	Val Acc: 28
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 2.329631	Val Loss: 2.495199	Val Acc: 26
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.459958	Val Loss: 2.516203	Val Acc: 26
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 2.240102	Val Loss: 2.441140	Val Acc: 30
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 2.176023	Val Loss: 2.507319	Val Acc: 27
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 2.515628	Val Loss: 2.486603	Val Acc: 27
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 2.254974	Val Loss: 2.477833	Val Acc: 27
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 2.265760	Val Loss: 2.472571	Val Acc: 28
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 2.119535	Val Loss: 2.449879	Val Acc: 28
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 2.513500	Val Loss: 2.397635	Val Acc: 27
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.341485	Val Loss: 2.429657	Val Acc: 28
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 2.062285	Val Loss: 2.408792	Val Acc: 30
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 2.494353	Val Loss: 2.370145	Val Acc: 28
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 2.173436	Val Loss: 2.293492	Val Acc: 30
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 2.415392	Val Loss: 2.364914	Val Acc: 30
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 2.521540	Val Loss: 2.384580	Val Acc: 27
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 2.164735	Val Loss: 2.466793	Val Acc: 31
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 2.156111	Val Loss: 2.440878	Val Acc: 28
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.463777	Val Loss: 2.384287	Val Acc: 29
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 2.367829	Val Loss: 2.319762	Val Acc: 29
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 2.053009	Val Loss: 2.320675	Val Acc: 30
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.389011	Val Loss: 2.409944	Val Acc: 28
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 2.138870	Val Loss: 2.350143	Val Acc: 28
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 2.229204	Val Loss: 2.405451	Val Acc: 29
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 1.947863	Val Loss: 2.343666	Val Acc: 26
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.535484	Val Loss: 2.329572	Val Acc: 29
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 2.037896	Val Loss: 2.344024	Val Acc: 28
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 2.205864	Val Loss: 2.288890	Val Acc: 30
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 2.649884	Val Loss: 2.267150	Val Acc: 30
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.393445	Val Loss: 2.234425	Val Acc: 27
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 2.002098	Val Loss: 2.328821	Val Acc: 30
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 2.084028	Val Loss: 2.274205	Val Acc: 30
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 2.264390	Val Loss: 2.253603	Val Acc: 30
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.238672	Val Loss: 2.239782	Val Acc: 29
