Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.725381	Val Loss: 1.628651	Val Acc: 45
Train Epoch: 1 [36480/49000 (74%)]	Train Loss: 1.878511	Val Loss: 1.663364	Val Acc: 44
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.557754	Val Loss: 1.671932	Val Acc: 44
Train Epoch: 1 [37760/49000 (77%)]	Train Loss: 1.488897	Val Loss: 1.656695	Val Acc: 43
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.536541	Val Loss: 1.627839	Val Acc: 45
Train Epoch: 1 [39040/49000 (80%)]	Train Loss: 1.593420	Val Loss: 1.652320	Val Acc: 45
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.399519	Val Loss: 1.562489	Val Acc: 45
Train Epoch: 1 [40320/49000 (82%)]	Train Loss: 1.663805	Val Loss: 1.640121	Val Acc: 43
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.516248	Val Loss: 1.557149	Val Acc: 46
Train Epoch: 1 [41600/49000 (85%)]	Train Loss: 1.589694	Val Loss: 1.733057	Val Acc: 39
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.711381	Val Loss: 1.644070	Val Acc: 45
Train Epoch: 1 [42880/49000 (87%)]	Train Loss: 1.800094	Val Loss: 1.686693	Val Acc: 45
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.522880	Val Loss: 1.682175	Val Acc: 41
Train Epoch: 1 [44160/49000 (90%)]	Train Loss: 1.649455	Val Loss: 1.679916	Val Acc: 39
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.430809	Val Loss: 1.672963	Val Acc: 43
Train Epoch: 1 [45440/49000 (93%)]	Train Loss: 1.676488	Val Loss: 1.597482	Val Acc: 45
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.654775	Val Loss: 1.791457	Val Acc: 40
Train Epoch: 1 [46720/49000 (95%)]	Train Loss: 1.483283	Val Loss: 1.635721	Val Acc: 44
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.831056	Val Loss: 1.659761	Val Acc: 46
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.687633	Val Loss: 1.692863	Val Acc: 44
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.653451	Val Loss: 1.632090	Val Acc: 44
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.526359	Val Loss: 1.689170	Val Acc: 40
Train Epoch: 2 [640/49000 (1%)]	Train Loss: 1.596406	Val Loss: 1.595646	Val Acc: 44
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 1.658358	Val Loss: 1.667546	Val Acc: 44
Train Epoch: 2 [1920/49000 (4%)]	Train Loss: 1.545516	Val Loss: 1.657777	Val Acc: 44
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.647643	Val Loss: 1.647583	Val Acc: 42
